,AD_GRUPOECONOMICO,AD_CODUNNEG,DESCRICAO,SEGMENTO
3786,ROMANATO,3.0,FOOD & NUTRITION,
3787,HIPER 25 COMERCIO E DISTRIBUICAO DE ARMARINHOS ,,,
3788,AMAXXON COSMETICS LTDA,2.0,LIFE & PERSONAL CARE,
3789,NAGASE e CO. LTD,,,
3790,SHIMIZU CHEMICAL CORPORATION,,,
3791,LIPOTEC S.A,1.0,INDUSTRIAL,
3792,TINTAS IQUINE,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
3793,YAKULT S/A INDÚSTRIA E COMÉRCIO,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3794,GRANOLA TIA SONIA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3795,Julio Tiete Figueiredo junior,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3796,EUROFRAL INDUSTRIA DE PRODUTOS HIGIENICOS E TERMOPLASTICOS LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3797,ROGERIO AMARAL,1.0,INDUSTRIAL,
3798,SOUZA SETUBAL COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3799,C V CAMPOS COMERCIO DE PRODUTOS DE LIMPEZA,2.0,LIFE & PERSONAL CARE,
3800,IPLASA INDUSTRIA E COMERCIO DE PRODUTOS DOMISSANITARIOS LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3801,GCABE ELECTRIC CONDUCTORS CABOS ESPECIAIS LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3802,CHEMICAL MARKETING CONCEPTS EUROPE (ON BEHALF ,,,
3803,Jônatas Silva Teixeira,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3804,"HONEYWELL INTERNATIONAL, INC.",2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3805,WLADIMIR HENRIQUE BUOSI 26231078825,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3806,GISLAINE TAHARA LIMIERI 40354707833,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3807,BOILLER COSMETICS EIRELI,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3808,LIMA E KASCHER COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3809,GEO CHEMICALS LTDA,2.0,LIFE & PERSONAL CARE,
3810,VEGGIE ROOTS INDUSTRIA E COMERCIO LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3811,PMAN,3.0,FOOD & NUTRITION,
3812,PERFORMANCE NUTRITION,3.0,FOOD & NUTRITION,SUPLEMENTOS | Medicamentos / Pharma
3813,PROTECH DO BRASIL LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3814,RIONIL COMPOSTOS VINILICOS LTDA.,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3815,FORMULA 10 COSMÉTICOS E PROD.NATURAIS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3816,GRUPO VITALE,4.0,AGRO,AGRONEGÓCIO | Fertilizantes
3817,ANTICA OFFICINA DI OLFATTO LTDA-ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3818,AMAZONIA BRASIL,,,
3819,BRASGRAMP,1.0,INDUSTRIAL,
3820,ISOLASIL,1.0,INDUSTRIAL,
3821,TOPFLOR PRODUTOS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3822,ARCO ÍRIS,,,
3823,RSL SENSO COMERCIO DE PRESENTES LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3824,KRONOS,1.0,INDUSTRIAL,
3825,ARE EMBALAGENS,1.0,INDUSTRIAL,
3826,JAFF COSMETICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3827,BASTOS JUNTAS,1.0,INDUSTRIAL,
3828,ART VEGE,1.0,INDUSTRIAL,
3829,ARTE DOS AROMAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
3830,HERVAQUIMICA INDUSTRIAL E COMÉRCIO LTDA.,1.0,INDUSTRIAL,
3831,3FA COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,
3832,AV1 IND E COMÉRCIO,1.0,INDUSTRIAL,
3833,BABY LIMP,1.0,INDUSTRIAL,
3834,BALDER INDUSTRIA FARMACEUTICA LTDA,3.0,FOOD & NUTRITION,
3835,BALL BEVERAGE CAN SOUTH AMERICA S/A,1.0,INDUSTRIAL,
3836,PLAST BATCH INDÚSTRIA COMÉRCIO,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3837,AGARRADINHO INDUSTRIA E COMERCIO DE BRINDES LTDA - ME,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3838,AGILE QUIMICA LTDA ME,1.0,INDUSTRIAL,
3839,CORENE COMERCIAL QUÍMICA,1.0,INDUSTRIAL,
3840,CORIUM QUÍMICA,1.0,INDUSTRIAL,
3841,"G.C. INDUSTRIAL, IMPORTADORA E EXPORTADORA DE LUBRIFICANTES LTDA",1.0,INDUSTRIAL,
3842,ALCALIMP,1.0,INDUSTRIAL,
3843,GAP QUIMICA,1.0,INDUSTRIAL,
3844,GIFOR INDUSTRIAL,1.0,INDUSTRIAL,
3845,ALF IND. COM. FIXADORES,1.0,INDUSTRIAL,
3846,TRANSBENIX LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3847,MULTIBIZ COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3848,ALPHA GALVANO,1.0,INDUSTRIAL,
3849,OVER COMING,1.0,INDUSTRIAL,
3850,OVERLACK,,,
3851,PRINTCORSUL INDÚSTRIA E COMÉRCIO DE TINTAS E VERNIZES LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
3852,CHURROS REGINA,3.0,FOOD & NUTRITION,
3853,GREENYARD FROZEN,3.0,FOOD & NUTRITION,
3854,EVERTIS,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3855,POSITIVA,,,
3856,O MUNDO DA OVELHA BEE INDUSTRIA E COMERCIO DE LACTEOS LTDA,3.0,FOOD & NUTRITION,
3857,QUIMATEX,1.0,INDUSTRIAL,
3858,CLEANING INDUSTRIA QUIMICA EIRELI,2.0,LIFE & PERSONAL CARE,
3859,PGL DISTRIBUICAO DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
3860,FAB DE DOCES LEDUR LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Confeitaria / Doces
3861,BIOTEC INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Outros
3862,DIEHL E SALAMI LTDA,2.0,LIFE & PERSONAL CARE,
3863,QUALITA,,,
3864,IMPAKTTO,1.0,INDUSTRIAL,
3865,NITA,3.0,FOOD & NUTRITION,
3866,RELVA TATUI PERFUMARIA IND E COM LTDA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3867,RESIPLAST,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3868,COOPERATIVA DOS PRODUTORES AGROPECUARIOS DE DRACENA COOPADRA,4.0,AGRO,
3869,WOLFTANK LATAM,1.0,INDUSTRIAL,
3870,IRAJÁ,,,
3871,PLASTPRESS,,,
3872,MAXVET IND E COM DE PROD VETERINARIOS LTDA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3873,MAYSTAR,1.0,INDUSTRIAL,
3874,HEINEKEN,3.0,FOOD & NUTRITION,
3875,ITALAC,3.0,FOOD & NUTRITION,
3876,PRAFIX,1.0,INDUSTRIAL,
3877,BIOMA BIOTEC,1.0,INDUSTRIAL,
3878,Del Rei – Ind. De Artefatos de Látex LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3879,ALQUIMIA IND. E COM. DE PRODUTOS DE LIMPEZA,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
3880,EBICEN,3.0,FOOD & NUTRITION,
3881,GRUPO NESTLE,3.0,FOOD & NUTRITION,
3882,PHARMACEUTICA JUNIOR,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
3883,Pão de Queijo Araxá,3.0,FOOD & NUTRITION,
3884,SERRA AZUL PÃO DE QUEIJO,3.0,FOOD & NUTRITION,
3885,SERVICO NACIONAL DE APRENDIZAGEM INDUSTRIAL-SENAI,1.0,INDUSTRIAL,
3886,SEXY FANTASY,,,
3887,SHIELD COATINGS,1.0,INDUSTRIAL,
3888,Galeria Pão de Queijo,3.0,FOOD & NUTRITION,
3889,KOTA KNEBEL PRODUTOS ODONTOLOGICOS EIRELI,1.0,INDUSTRIAL,
3890,SILLAGE COMERCIO DE ARTIGOS DE BELEZA LTDA - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3891,MULTICOLOR TEXTIL,1.0,INDUSTRIAL,
3892,NEW LACK,,,
3893,PLACO-SAINT GOBAIN,1.0,INDUSTRIAL,
3894,MD INDUSTRIA,1.0,INDUSTRIAL,
3895,NEWPARK DRILLING FLUIDOS DO BRASIL TRATAMENTO DE FLUIDOS LTDA,1.0,INDUSTRIAL,
3896,PLASTEK DO BRASIL INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3897,SPA INDUSTRIA,,,
3898,MEGA,1.0,INDUSTRIAL,
3899,MEGABRISA,,,
3900,TIO JOÃO (JOSAPAR),,,
3901,MARIZA FOODS,3.0,FOOD & NUTRITION,
3902,LIANE ALIMENTOS,3.0,FOOD & NUTRITION,
3903,GILBOTEC IND. E COM. DE ARTEFATOS DE BORRACHAS EPP,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3904,CONFEITARIA DAMA,,,
3905,MICHELIN,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3906,REI DO MATE,3.0,FOOD & NUTRITION,
3907,NORTENE PLÁSTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3908,GOLD SUL INDÚSTRIA PLÁSTICA LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3909,JCF,,,
3910,KAILASH,,,
3911,COCA-COLA,3.0,FOOD & NUTRITION,
3912,LEIMAR INDÚSTRIA E COMÉRCIO DE SABÃO,1.0,INDUSTRIAL,
3913,COPACOL,4.0,AGRO,AGRONEGÓCIO | Inoculantes
3914,USINA DE LATICINIOS JUSSARA SA,3.0,FOOD & NUTRITION,
3915,CEDEPI INDUSTRIA EIRELI,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
3916,CERAPURA,1.0,INDUSTRIAL,
3917,CHDS DO BRASIL,4.0,AGRO,AGRONEGÓCIO | Inoculantes
3918,GAETA MASSERIA,3.0,FOOD & NUTRITION,
3919,CONTRATIPO,1.0,INDUSTRIAL,
3920,CONTROLLAB - CONTROLE DE QUALIDADE PARA LABORATÓRIOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3921,CONVERPLAST,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3922,BM4 BRASIL MATERIAIS E INSTRUMENTAIS LTDA,1.0,INDUSTRIAL,
3923,LCA COSMETICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3924,PASTAGRANO MASSA,,,
3925,D1000,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3926,DAFFER QUÍMICA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3927,SORVETES DADIONELLE,3.0,FOOD & NUTRITION,
3928,INDUSTRIA MISSIATO DE BEBIDAS LTDA,3.0,FOOD & NUTRITION,
3929,AMINOFÉRTIL,4.0,AGRO,AGRONEGÓCIO | Inoculantes
3930,NEGREIRA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3931,PROQUILIMP PRODUTOS QUIMICOS LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3932,DENT BRAS,,,
3933,PREMIER,3.0,FOOD & NUTRITION,
3934,REPSOL LUBRIFICANTES E ESPECIA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
3935,OPS LIMPOU IMPORTACAO E EXPORTACAO EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3936,SUDESTE QUIMICA INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3937,COOPERMOTA,4.0,AGRO,AGRONEGÓCIO | Biológicos
3938,GRUPO CORTEVA,4.0,AGRO,
3939,SANTHO AROMA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3940,CONSTRUTINTAS COMERCIO DE TINTAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
3941,RESARLUX INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3942,EBRAS COMERCIO DE LAPIS LTDA,1.0,INDUSTRIAL,
3943,VERDI,,,
3944,VIDORA FARMACEUTICA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Nutracêuticos
3945,NEOPLASTIC,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3946,EMPRESA DISTRIBUIDORA DE COMBUSTÍVEIS,,,
3947,FERRO BACCHI,,,
3948,PERFETTO ALIMENTOS,3.0,FOOD & NUTRITION,
3949,POWER ONE,3.0,FOOD & NUTRITION,
3950,FIXUEL MÁQUINAS,1.0,INDUSTRIAL,
3951,FURP,3.0,FOOD & NUTRITION,
3952,CHT BEZEMA,,,
3953,FLORAL ATLANTA,1.0,INDUSTRIAL,
3954,INDUSPOL INDUSTRIA DE POLIMEROS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
3955,R S INDUSTRIA COMERCIO EIRELI,2.0,LIFE & PERSONAL CARE,
3956,M V M VELOSO COSMETICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3957,COMBULUZ DISTRIBUIDORA DE PRODUTOS DE PETRÓLEO,1.0,INDUSTRIAL,
3958,INDUSTRIA DE TINTAS IGUACU LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
3959,INDUSTRIA GALVAMI LTDA,1.0,INDUSTRIAL,
3960,NUF FARMACEUTICA LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Nutracêuticos
3961,N OVO PLANT BASED LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3962,BELLA MAX,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
3963,M A PRODUTOS QUIMICOS EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3964,INPROL INDUSTRIA DE PRODUTOS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3965,QUATÁ,3.0,FOOD & NUTRITION,
3966,VAL ALIMENTOS,3.0,FOOD & NUTRITION,
3967,MUSCLE TECH,3.0,FOOD & NUTRITION,
3968,EURO PAINT INDUSTRIA DE TINTAS LTDA - ME,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
3969,EXSTO,1.0,INDUSTRIAL,
3970,THE PRODUCT MAKERS INDUSTRIA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3971,GRUPO AMBEV,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3972,Blend Coberturas,3.0,FOOD & NUTRITION,
3973,SPLINT FRIBURGO INDUSTRIA E COMERCIO EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3974,TERESOPOLIS INDUSTRIA E COMERCIO DE QUIMICA EIRELI,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3975,MONDELEZ,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Chocolates
3976,FABIOLA BARBOSA ROCHA DE FARIAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3977,LEMOS E KLIMECK INDUSTRIA QUIMICA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3978,FORQUIMICA,4.0,AGRO,AGRONEGÓCIO | Inoculantes
3979,GENTE COMERCIO DE ALIMENTOS LTDA.,3.0,FOOD & NUTRITION,
3980,LACTALIS DO BRASIL,3.0,FOOD & NUTRITION,
3981,LATICÍNIO SCALA,3.0,FOOD & NUTRITION,
3982,GHM INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
3983,B-ON-NUTRIÇÃO,,,
3984,ITAMARATY,3.0,FOOD & NUTRITION,
3985,FREDDO,,,
3986,MEC3 DO BRASIL PRODUTOS ALIMENTICIOS LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
3987,BARUQUIMICA COMERCIO DE PRODUTOS QUIMICOS LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3988,DOHLER AMERICA LATINA LTDA,3.0,FOOD & NUTRITION,
3989,EAT CLEAN EIRELI,3.0,FOOD & NUTRITION,
3990,CPN ALIMENTOS LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Massas
3991,INDUSTRIA DE PRODUTOS DE LIMPEZA DUPOVO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
3992,GRÃO + GRÃO,3.0,FOOD & NUTRITION,
3993,OFFGLUTEN,,,
3994,CHOCOLATE Q,,,
3995,COLACRIL,,,
3996,PIMACO,1.0,INDUSTRIAL,ADESIVOS | Hot Melt
3997,DONA RAIZ,,,
3998,KEHRLE INDUSTRIA E COMERCIO EIRELI,2.0,LIFE & PERSONAL CARE,
3999,NUTRACOM INDÚSTRIA E COMÉRCIO,,,
4000,MOMO GELATO,,,
4001,BARRY CALLEBAUT,3.0,FOOD & NUTRITION,
4002,TIMAC AGRO INDUSTRIA E COMERCIO DE FERTILIZANTES LTDA,4.0,AGRO,
4003,ROSEFLOR ALIMENTOS,3.0,FOOD & NUTRITION,
4004,FORMALIX PRODUTOS QUIMICO LTDA,2.0,LIFE & PERSONAL CARE,
4005,VETBRAS INDUSTRIA E COMERCIO DE PRODUTOS AGROPECUARIOS LTDA,2.0,LIFE & PERSONAL CARE,
4006,LINK PET INDUSTRIA E COMERCIO DE PRODUTOS VETERINARIOS LTDA,2.0,LIFE & PERSONAL CARE,
4007,BRU PET INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,
4008,PRO BRASIL PET INDUSTRIA E COMERCIO EIRELI,2.0,LIFE & PERSONAL CARE,
4009,DIHELO ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
4010,CONFORT PET BRASIL INDUSTRIA E COMERCIO DE PRODUTOS PARA HIGIENE ANIMAL LTDA,2.0,LIFE & PERSONAL CARE,
4011,LABGARD INDUSTRIA E COMERCIO DE PRODUTOS VETERINARIOS LTDA,2.0,LIFE & PERSONAL CARE,
4012,PANETTERIA PALHANO PAES E DOCES LTDA,3.0,FOOD & NUTRITION,
4013,ALBERTO KEIDI,2.0,LIFE & PERSONAL CARE,
4014,BEAUTY TO GO,1.0,INDUSTRIAL,
4015,PRESIDENT/Lactalis,,,
4016,BARILLA DO BRASIL LTDA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
4017,PLAST BATCH INDÚSTRIA COMÉRCIO,1.0,INDUSTRIAL,
4018,REALIZE INDUSTRIA DE COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,
4019,DIAMAJU,4.0,AGRO,AGRONEGÓCIO | Inoculantes
4020,AGRIFOL,4.0,AGRO,AGRONEGÓCIO | Inoculantes
4021,NETTO ALIMENTOS,3.0,FOOD & NUTRITION,
4022,FLORMEL INDUSTRIA DE ALIMENTOS SA,3.0,FOOD & NUTRITION,ALIMENTAÇÃO HUMANA | Panificação/Biscoitos/Bolos
4023,PLASTICOS NOVACOR LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
4024,VISUAL + MAIS INDUSTRIA E COMERCIO DE CERAS DEPILATORIAS EIRELI - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
4025,"VITO COMERCIO DE COSMETICOS, PERFUMARIA E HIGIENE PESSOAL LTDA - EPP",2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4026,REGELUB LUBRIFICANTES EIRELI,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
4027,NOVAFLEX INDÚSTRIA E COMÉRCIO DE TINTAS ESPECIAIS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
4028,SILVER CHEMICAL,,,
4029,VELHO BARREIRO,3.0,FOOD & NUTRITION,
4030,ZENKER COSMETIK,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4031,COOPERATIVA REGIONAL AGROPECUARIA VALE DO ITAJAI,3.0,FOOD & NUTRITION,
4032,VITAO ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
4033,SINCOPLASTIC,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
4034,PRATI DONADUZZI,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
4035,SPECIALMIX,,,
4036,SPINELLI - SPINELLI INDUSTRIA PLASTICA LTDA - ME,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
4037,STARNAV SERVICOS MARITIMOS LTDA,1.0,INDUSTRIAL,
4038,STILEX,1.0,INDUSTRIAL,
4039,ALIBEY INDUSTRIA E COMERCIO DE ALIMENTOS ESPECIAIS LTDA,3.0,FOOD & NUTRITION,
4040,MAXINUTRI LABORATÓRIO NUTRACÊUTICO,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
4041,SIENA ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
4042,SULCOLOR INDÚSTRIA DE TINTAS E SOLVENTES LTDA.,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
4043,SULPLAST FIBRA DE VIDRO E TERMOPLASTICO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
4044,SUPRA TINTAS,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
4045,T. M. C. INDUSTRIA DE TINTAS GRAFICAS LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
4046,FÁBRICAS DE SORVETES COKMEL,3.0,FOOD & NUTRITION,
4047,LOLYBALAS COMERCIO DE BALAS E GULOSEIMAS EIRELI,3.0,FOOD & NUTRITION,
4048,TECLUB INDUSTRIA E COMERCIO DE,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
4049,TACOSOLA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
4050,THREE BOND DO BRASIL INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,
4051,MINERVA FOODS,3.0,FOOD & NUTRITION,
4052,TRIO,3.0,FOOD & NUTRITION,
4053,PADARIA E CONFEITARIA RIO BRANCO LTDA,3.0,FOOD & NUTRITION,
4054,PHARMASCIENCE INDUSTRIA FARMACEUTICA EIRELI,2.0,LIFE & PERSONAL CARE,
4055,TINTAS PERFECT,,,
4056,CHEF FOODS INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS EM RECUPERACAO JUDICIAL LTDA,3.0,FOOD & NUTRITION,
4057,MOINHO GLOBO,3.0,FOOD & NUTRITION,
4058,MASSA CORRIDA COLATEX LTDA,1.0,INDUSTRIAL,
4059,GRUPO GENERAL MILLS,3.0,FOOD & NUTRITION,
4060,ALTHAIA INDÚSTRIA FARMACÊUTICA,2.0,LIFE & PERSONAL CARE,
4061,PÃO VALE DO SOL,3.0,FOOD & NUTRITION,
4062,PEAK AUTOMOTIVA LTDA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
4063,TOTALENERGIES DISTRIBUIDORA BR,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
4064,SABOR CONDIMENTOS,3.0,FOOD & NUTRITION,
4065,COSMED IND. DE COSMÉSTICOS MEDICAMENTOS S/A,,,
4066,PROJETOS ARXADA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
4067,QUELAL TECH BIOTECNOLOGIA LTDA,4.0,AGRO,
4068,DOM BOSCO,1.0,INDUSTRIAL,
4069,EMBRATI,1.0,INDUSTRIAL,
4070,ESVALDIR,,,
4071,EVS ARTEFATOS DE BORRACHA,1.0,INDUSTRIAL,
4072,PROJETOS TAKASAGO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
4073,GUEDES SOBRINHO,1.0,INDUSTRIAL,
4074,HIDRAN,1.0,INDUSTRIAL,
4075,KIFORTE QUIMICA,2.0,LIFE & PERSONAL CARE,
4076,KORIYAMA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
4077,L-S BRASIL,1.0,INDUSTRIAL,
4078,LABORATÓRIOS HEATON MERSEY,1.0,INDUSTRIAL,
4079,LUKHÉZY,1.0,INDUSTRIAL,
4080,NCH,1.0,INDUSTRIAL,
4081,NS BRASIL,1.0,INDUSTRIAL,
4082,P - M INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4083,PURI PERFUMES,1.0,INDUSTRIAL,
4084,RESTOQUE,1.0,INDUSTRIAL,
4085,RG COSMETICS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4086,SEIVAILEX COSMÉTICOS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
4087,SLINC,1.0,INDUSTRIAL,
4088,TECELAGEM MINASREY LTDA,2.0,LIFE & PERSONAL CARE,
4089,GRANUTA  P C ALIMENTOS SAUDÁVEIS,3.0,FOOD & NUTRITION,
4090,BIG BELLA DISTRIBUIDORA,1.0,INDUSTRIAL,
4091,CENTRO DE INOVACAO,2.0,LIFE & PERSONAL CARE,
4092,CHANT INDUSTRIA COMERCIO E TRANSPORTES,,,
4093,SUPREMA LINE,1.0,INDUSTRIAL,
4094,POLIBRA IND E COM DE MATS DE POLIMENTO LTDA,1.0,INDUSTRIAL,
4095,UP,1.0,INDUSTRIAL,
4096,VOITH,1.0,INDUSTRIAL,
4097,S PAN INDUSTRIA E COMERCIO DE PANIFICACAO UNIPESSOAL LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
4098,CASAREDO ALIMENTOS LTDA,3.0,FOOD & NUTRITION,SUPLEMENTOS | Outros
4099,GRUPO AKUA/CLESS,2.0,LIFE & PERSONAL CARE,
4100,SANOFI CONSUMER HEALTHCARE,2.0,LIFE & PERSONAL CARE,
4101,BRAZILIAN SECRETS HAIR IND E COM IMP E EXP DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,
4102,NUTRIPLANT,4.0,AGRO,
